Start Time,End Time,Book,Page #,Song / Activity,BPM,Notes,Duration in Minutes,Day Grouper,Week Grouper
10/12/2024 16:17:51,10/12/2024 16:21:33,A Dozen a Day - Book 2,,Group 1 - 3,90,,3.7,10/12/2024,10/7/2024
10/12/2024 16:21:33,10/12/2024 16:22:56,A Dozen a Day - Book 2,,Group 1 - 4,90,,1.4,10/12/2024,10/7/2024
10/12/2024 16:22:56,10/12/2024 16:26:53,A Dozen a Day - Book 2,,Group 1 - 5,80,,3.9,10/12/2024,10/7/2024
10/12/2024 16:26:53,10/12/2024 16:30:51,A Dozen a Day - Book 2,,Group 1 - 6,80,,4.0,10/12/2024,10/7/2024
10/12/2024 16:30:51,10/12/2024 16:58:13,Jazzin America,,Bird In the Bebop,80,,27.4,10/12/2024,10/7/2024
10/12/2024 16:58:13,10/12/2024 17:11:51,Easy Piano Classics,,Ballade,130,,13.6,10/12/2024,10/7/2024
10/13/2024 18:06:17,10/13/2024 18:13:20,Exercises,,Warmup + Scales,100,,7.0,10/13/2024,10/7/2024
10/13/2024 18:13:20,10/13/2024 18:14:01,Exercises,,Chromatic Scale,75,,0.7,10/13/2024,10/7/2024
10/13/2024 18:14:01,10/13/2024 18:16:39,Exercises,,Arpeggio,75,,2.6,10/13/2024,10/7/2024
10/13/2024 18:16:39,10/13/2024 18:20:26,Exercises,,Triads,60,,3.8,10/13/2024,10/7/2024
10/13/2024 18:20:26,10/13/2024 18:22:22,A Dozen a Day - Book 2,,Group 1 - 1,105,,1.9,10/13/2024,10/7/2024
10/13/2024 18:22:22,10/13/2024 18:27:30,A Dozen a Day - Book 2,,Group 1 - 2,60,,5.1,10/13/2024,10/7/2024
10/13/2024 18:27:30,10/13/2024 18:29:34,A Dozen a Day - Book 2,,Group 1 - 3,90,,2.1,10/13/2024,10/7/2024
10/13/2024 18:29:34,10/13/2024 18:30:32,A Dozen a Day - Book 2,,Group 1 - 4,90,,1.0,10/13/2024,10/7/2024
10/13/2024 18:30:32,10/13/2024 18:31:58,A Dozen a Day - Book 2,,Group 1 - 5,85,,1.4,10/13/2024,10/7/2024
10/13/2024 18:31:58,10/13/2024 18:35:40,A Dozen a Day - Book 2,,Group 1 - 6,80,,3.7,10/13/2024,10/7/2024
10/13/2024 21:38:10,10/13/2024 21:54:32,Easy Piano Classics,,Ballade,130,,16.4,10/13/2024,10/7/2024
10/13/2024 21:54:32,10/13/2024 22:17:19,Jazzin America,,Bird In the Bebop,80,,22.8,10/13/2024,10/7/2024
10/15/2024 22:20:25,10/15/2024 22:39:32,Exercises,,Warmup + Scales,100,,19.1,10/15/2024,10/14/2024
10/15/2024 22:39:32,10/15/2024 22:42:11,Exercises,,Chromatic Scale,75,,2.6,10/15/2024,10/14/2024
10/15/2024 22:42:11,10/15/2024 22:52:55,Exercises,,Arpeggio,75,,10.7,10/15/2024,10/14/2024
10/15/2024 22:52:55,10/15/2024 22:57:56,Exercises,,Triads,55,,5.0,10/15/2024,10/14/2024
10/15/2024 22:57:56,10/15/2024 23:00:56,A Dozen a Day - Book 2,,Group 1 - 1,85,,3.0,10/15/2024,10/14/2024
10/15/2024 23:00:56,10/15/2024 23:07:00,A Dozen a Day - Book 2,,Group 1 - 2,65,,6.1,10/15/2024,10/14/2024
10/15/2024 23:07:00,10/15/2024 23:07:58,A Dozen a Day - Book 2,,Group 1 - 3,65,,1.0,10/15/2024,10/14/2024
10/15/2024 23:07:58,10/15/2024 23:08:28,A Dozen a Day - Book 2,,Group 1 - 4,65,,0.5,10/15/2024,10/14/2024
10/15/2024 23:08:28,10/15/2024 23:09:38,A Dozen a Day - Book 2,,Group 1 - 5,65,,1.2,10/15/2024,10/14/2024
10/15/2024 23:09:38,10/15/2024 23:14:39,A Dozen a Day - Book 2,,Group 1 - 6,65,,5.0,10/15/2024,10/14/2024
10/15/2024 23:14:39,10/15/2024 23:26:04,A Dozen a Day - Book 2,,Group 1 - 7,65,,11.4,10/15/2024,10/14/2024
10/15/2024 23:26:04,10/15/2024 23:29:28,A Dozen a Day - Book 2,,Group 1 - 8,65,,3.4,10/15/2024,10/14/2024
10/15/2024 23:29:28,10/15/2024 23:44:28,Easy Piano Classics,,Ballade,130,,15.0,10/15/2024,10/14/2024
10/15/2024 23:44:28,10/15/2024 23:54:56,Jazzin America,,Super Stomp Rag,,,10.5,10/15/2024,10/14/2024
10/16/2024 22:07:16,10/16/2024 22:23:13,Exercises,,Warmup + Scales,100,,15.9,10/16/2024,10/14/2024
10/16/2024 22:23:13,10/16/2024 22:28:07,Exercises,,Chromatic Scale,65,,4.9,10/16/2024,10/14/2024
10/16/2024 22:28:07,10/16/2024 22:32:31,Exercises,,Arpeggio,65,,4.4,10/16/2024,10/14/2024
10/16/2024 22:32:31,10/16/2024 22:35:42,Exercises,,Triads,65,,3.2,10/16/2024,10/14/2024
10/16/2024 22:35:42,10/16/2024 22:36:56,A Dozen a Day - Book 2,,Group 1 - 1,65,,1.2,10/16/2024,10/14/2024
10/16/2024 22:36:56,10/16/2024 22:39:03,A Dozen a Day - Book 2,,Group 1 - 2,65,,2.1,10/16/2024,10/14/2024
10/16/2024 22:39:03,10/16/2024 22:40:03,A Dozen a Day - Book 2,,Group 1 - 3,65,,1.0,10/16/2024,10/14/2024
10/16/2024 22:40:03,10/16/2024 22:40:32,A Dozen a Day - Book 2,,Group 1 - 4,65,,0.5,10/16/2024,10/14/2024
10/16/2024 22:40:32,10/16/2024 22:42:25,A Dozen a Day - Book 2,,Group 1 - 5,65,,1.9,10/16/2024,10/14/2024
10/16/2024 22:42:25,10/16/2024 22:43:50,A Dozen a Day - Book 2,,Group 1 - 6,65,,1.4,10/16/2024,10/14/2024
10/16/2024 22:43:50,10/16/2024 22:45:44,A Dozen a Day - Book 2,,Group 1 - 7,65,,1.9,10/16/2024,10/14/2024
10/16/2024 22:45:44,10/16/2024 22:50:31,A Dozen a Day - Book 2,,Group 1 - 8,65,,4.8,10/16/2024,10/14/2024
10/17/2024 22:17:12,10/17/2024 22:31:53,Exercises,,Warmup + Scales,100,,14.7,10/17/2024,10/14/2024
10/17/2024 22:31:53,10/17/2024 22:33:24,Exercises,,Chromatic Scale,65,,1.5,10/17/2024,10/14/2024
10/17/2024 22:33:24,10/17/2024 22:37:31,Exercises,,Arpeggio,65,,4.1,10/17/2024,10/14/2024
10/17/2024 22:37:31,10/17/2024 22:40:42,Exercises,,triads,65,,3.2,10/17/2024,10/14/2024
10/17/2024 22:40:42,10/17/2024 22:41:45,A Dozen a Day - Book 2,,Group 1 - 1,65,,1.1,10/17/2024,10/14/2024
10/17/2024 22:41:45,10/17/2024 22:44:28,A Dozen a Day - Book 2,,Group 1 - 2,65,,2.7,10/17/2024,10/14/2024
10/17/2024 22:44:28,10/17/2024 22:45:40,A Dozen a Day - Book 2,,Group 1 - 3,65,,1.2,10/17/2024,10/14/2024
10/17/2024 22:45:40,10/17/2024 22:46:15,A Dozen a Day - Book 2,,Group 1 - 4,65,,0.6,10/17/2024,10/14/2024
10/17/2024 22:46:15,10/17/2024 22:47:07,A Dozen a Day - Book 2,,Group 1 - 5,65,,0.9,10/17/2024,10/14/2024
10/17/2024 22:47:07,10/17/2024 22:48:54,A Dozen a Day - Book 2,,Group 1 - 6,65,,1.8,10/17/2024,10/14/2024
10/17/2024 22:48:54,10/17/2024 22:50:38,A Dozen a Day - Book 2,,Group 1 - 7,65,,1.7,10/17/2024,10/14/2024
10/17/2024 22:50:38,10/17/2024 22:53:07,A Dozen a Day - Book 2,,Group 1 - 8,65,,2.5,10/17/2024,10/14/2024
10/17/2024 22:53:07,10/17/2024 23:15:38,Easy Piano Classics,,Ballade,130,,22.5,10/17/2024,10/14/2024
10/17/2024 23:15:38,10/17/2024 23:29:46,Jazzin America,,Super Stomp Rag,120 @ 75%,,14.1,10/17/2024,10/14/2024
10/19/2024 17:48:15,10/19/2024 18:00:17,Exercises,,Warmup + Scales,100,,12.0,10/19/2024,10/14/2024
10/19/2024 18:00:17,10/19/2024 18:02:13,Exercises,,Chromatic Scale,65,,1.9,10/19/2024,10/14/2024
10/19/2024 18:02:13,10/19/2024 18:05:44,Exercises,,Arpeggio,65,,3.5,10/19/2024,10/14/2024
10/19/2024 18:05:44,10/19/2024 18:07:41,Exercises,,triads,65,,2.0,10/19/2024,10/14/2024
10/19/2024 18:07:41,10/19/2024 18:08:38,A Dozen a Day - Book 2,,Group 1 - 1,65,,0.9,10/19/2024,10/14/2024
10/19/2024 18:08:38,10/19/2024 18:09:54,A Dozen a Day - Book 2,,Group 1 - 2,65,,1.3,10/19/2024,10/14/2024
10/19/2024 18:09:54,10/19/2024 18:10:19,A Dozen a Day - Book 2,,Group 1 - 3,65,,0.4,10/19/2024,10/14/2024
10/19/2024 18:10:19,10/19/2024 18:10:54,A Dozen a Day - Book 2,,Group 1 - 4,65,,0.6,10/19/2024,10/14/2024
10/19/2024 18:10:54,10/19/2024 18:12:00,A Dozen a Day - Book 2,,Group 1 - 5,65,,1.1,10/19/2024,10/14/2024
10/19/2024 18:12:00,10/19/2024 18:17:11,A Dozen a Day - Book 2,,Group 1 - 6,65,,5.2,10/19/2024,10/14/2024
10/19/2024 18:17:11,10/19/2024 18:20:38,A Dozen a Day - Book 2,,Group 1 - 7,65,,3.5,10/19/2024,10/14/2024
10/19/2024 18:20:38,10/19/2024 18:22:48,A Dozen a Day - Book 2,,Group 1 - 8,65,,2.2,10/19/2024,10/14/2024
10/19/2024 18:22:48,10/19/2024 18:27:55,Easy Piano Classics,,Ballade,130,,5.1,10/19/2024,10/14/2024
10/19/2024 18:27:55,10/19/2024 18:41:08,Jazzin America,,Super Stomp Rag,120 @ 75%,,13.2,10/19/2024,10/14/2024
10/20/2024 21:39:04,10/20/2024 21:48:48,Exercises,,Warmup + Scales,nm,,9.7,10/20/2024,10/14/2024
10/20/2024 21:48:48,10/20/2024 21:50:01,Exercises,,Chromatic Scale,nm,,1.2,10/20/2024,10/14/2024
10/20/2024 21:50:01,10/20/2024 21:52:20,Exercises,,Arpeggio,nm,,2.3,10/20/2024,10/14/2024
10/20/2024 21:52:20,10/20/2024 21:54:29,Exercises,,triads,nm,,2.2,10/20/2024,10/14/2024
10/20/2024 21:54:29,10/20/2024 21:55:36,A Dozen a Day - Book 2,,Group 1 - 1,nm,,1.1,10/20/2024,10/14/2024
10/20/2024 21:55:36,10/20/2024 21:57:36,A Dozen a Day - Book 2,,Group 1 - 2,nm,,2.0,10/20/2024,10/14/2024
10/20/2024 21:57:36,10/20/2024 21:58:17,A Dozen a Day - Book 2,,Group 1 - 3,nm,,0.7,10/20/2024,10/14/2024
10/20/2024 21:58:17,10/20/2024 21:58:53,A Dozen a Day - Book 2,,Group 1 - 4,nm,,0.6,10/20/2024,10/14/2024
10/20/2024 21:58:53,10/20/2024 21:59:40,A Dozen a Day - Book 2,,Group 1 - 5,nm,,0.8,10/20/2024,10/14/2024
10/20/2024 21:59:40,10/20/2024 22:01:40,A Dozen a Day - Book 2,,Group 1 - 6,nm,,2.0,10/20/2024,10/14/2024
10/20/2024 22:01:40,10/20/2024 22:05:58,A Dozen a Day - Book 2,,Group 1 - 7,nm,,4.3,10/20/2024,10/14/2024
10/20/2024 22:05:58,10/20/2024 22:08:26,A Dozen a Day - Book 2,,Group 1 - 8,nm,,2.5,10/20/2024,10/14/2024
10/20/2024 22:08:26,10/20/2024 22:19:27,Easy Piano Classics,,Ballade,nm,,11.0,10/20/2024,10/14/2024
10/20/2024 22:19:27,10/20/2024 22:27:51,Jazzin America,,Super Stomp Rag,nm,,8.4,10/20/2024,10/14/2024
10/21/2024 8:37:26,10/21/2024 8:49:04,Exercises,,Warmup + Scales,105,,11.6,10/21/2024,10/21/2024
10/21/2024 8:50:08,10/21/2024 8:51:22,Exercises,,Chromatic Scale,65,,1.2,10/21/2024,10/21/2024
10/21/2024 8:51:22,10/21/2024 8:52:24,Exercises,,Arpeggio,65,,1.0,10/21/2024,10/21/2024
10/21/2024 8:52:24,10/21/2024 8:53:31,Exercises,,triads,65,,1.1,10/21/2024,10/21/2024
10/21/2024 8:53:56,10/21/2024 8:54:52,A Dozen a Day - Book 2,,Group 1 - 1,65,,0.9,10/21/2024,10/21/2024
10/21/2024 8:54:52,10/21/2024 8:55:47,A Dozen a Day - Book 2,,Group 1 - 2,65,,0.9,10/21/2024,10/21/2024
10/21/2024 8:55:47,10/21/2024 8:56:11,A Dozen a Day - Book 2,,Group 1 - 3,65,,0.4,10/21/2024,10/21/2024
10/21/2024 8:56:11,10/21/2024 8:56:46,A Dozen a Day - Book 2,,Group 1 - 4,65,,0.6,10/21/2024,10/21/2024
10/21/2024 8:56:46,10/21/2024 8:57:26,A Dozen a Day - Book 2,,Group 1 - 5,65,,0.7,10/21/2024,10/21/2024
10/21/2024 8:57:26,10/21/2024 8:58:26,A Dozen a Day - Book 2,,Group 1 - 6,65,,1.0,10/21/2024,10/21/2024
10/21/2024 8:58:26,10/21/2024 8:58:59,A Dozen a Day - Book 2,,Group 1 - 7,65,,0.5,10/21/2024,10/21/2024
10/21/2024 8:58:59,10/21/2024 8:59:33,A Dozen a Day - Book 2,,Group 1 - 8,65,,0.6,10/21/2024,10/21/2024
10/21/2024 8:59:49,10/21/2024 9:00:53,Easy Piano Classics,,Ballade,125,,1.1,10/21/2024,10/21/2024
10/22/2024 22:22:16,10/22/2024 22:29:45,Exercises,,Warmup + Scales,105,,7.5,10/22/2024,10/21/2024
10/22/2024 22:29:45,10/22/2024 22:30:50,Exercises,,Chromatic Scale,65,,1.1,10/22/2024,10/21/2024
10/22/2024 22:30:50,10/22/2024 22:36:10,Exercises,,Arpeggio,65,,5.3,10/22/2024,10/21/2024
10/22/2024 22:36:10,10/22/2024 22:37:34,Exercises,,triads,65,,1.4,10/22/2024,10/21/2024
10/22/2024 22:37:34,10/22/2024 22:51:43,Exercises,,Broken Chords,65,,14.1,10/22/2024,10/21/2024
10/22/2024 22:51:43,10/22/2024 22:52:52,A Dozen a Day - Book 2,,Group 1 - 1,65,,1.2,10/22/2024,10/21/2024
10/22/2024 22:52:52,10/22/2024 22:53:50,A Dozen a Day - Book 2,,Group 1 - 2,65,,1.0,10/22/2024,10/21/2024
10/22/2024 22:53:50,10/22/2024 22:54:17,A Dozen a Day - Book 2,,Group 1 - 3,65,,0.4,10/22/2024,10/21/2024
10/22/2024 22:54:17,10/22/2024 22:54:56,A Dozen a Day - Book 2,,Group 1 - 4,65,,0.7,10/22/2024,10/21/2024
10/22/2024 22:54:56,10/22/2024 22:55:31,A Dozen a Day - Book 2,,Group 1 - 5,65,,0.6,10/22/2024,10/21/2024
10/22/2024 22:55:31,10/22/2024 22:56:02,A Dozen a Day - Book 2,,Group 1 - 6,65,,0.5,10/22/2024,10/21/2024
10/22/2024 22:56:02,10/22/2024 22:56:36,A Dozen a Day - Book 2,,Group 1 - 7,65,,0.6,10/22/2024,10/21/2024
10/22/2024 22:56:36,10/22/2024 22:57:10,A Dozen a Day - Book 2,,Group 1 - 8,65,,0.6,10/22/2024,10/21/2024
10/22/2024 22:57:10,10/22/2024 23:01:58,A Dozen a Day - Book 2,,Group 1 - 9,65,,4.8,10/22/2024,10/21/2024
10/22/2024 23:01:58,10/22/2024 23:04:17,A Dozen a Day - Book 2,,Group 1 - 10,65,,2.3,10/22/2024,10/21/2024
10/22/2024 23:04:17,10/22/2024 23:32:22,Jazzin America,,Super Stomp Rag,125 @ 75,,28.1,10/22/2024,10/21/2024
10/22/2024 23:32:22,10/22/2024 23:49:45,Easy Piano Classics,,Nocturne,nm,,17.4,10/22/2024,10/21/2024
10/23/2024 22:02:29,10/23/2024 22:12:04,Exercises,,Warmup + Scales,105,,9.6,10/23/2024,10/21/2024
10/23/2024 22:12:04,10/23/2024 22:13:13,Exercises,,Chromatic Scale,70,,1.1,10/23/2024,10/21/2024
10/23/2024 22:13:13,10/23/2024 22:37:23,Exercises,,Arpeggio,70,,24.2,10/23/2024,10/21/2024
10/23/2024 22:18:03,10/23/2024 22:37:23,Exercises,,Broken Chords,70,,19.3,10/23/2024,10/21/2024
10/23/2024 22:37:23,10/23/2024 22:39:34,Exercises,,triads,70,,2.2,10/23/2024,10/21/2024
10/23/2024 22:39:37,10/23/2024 22:40:35,A Dozen a Day - Book 2,,Group 1 - 1,70,,1.0,10/23/2024,10/21/2024
10/23/2024 22:40:35,10/23/2024 22:43:08,A Dozen a Day - Book 2,,Group 1 - 2,70,,2.5,10/23/2024,10/21/2024
10/23/2024 22:43:08,10/23/2024 22:43:32,A Dozen a Day - Book 2,,Group 1 - 3,70,,0.4,10/23/2024,10/21/2024
10/23/2024 22:43:32,10/23/2024 22:44:50,A Dozen a Day - Book 2,,Group 1 - 4,70,,1.3,10/23/2024,10/21/2024
10/23/2024 22:44:50,10/23/2024 22:45:18,A Dozen a Day - Book 2,,Group 1 - 5,70,,0.5,10/23/2024,10/21/2024
10/23/2024 22:45:18,10/23/2024 22:45:49,A Dozen a Day - Book 2,,Group 1 - 6,70,,0.5,10/23/2024,10/21/2024
10/23/2024 22:45:49,10/23/2024 22:46:39,A Dozen a Day - Book 2,,Group 1 - 7,70,,0.8,10/23/2024,10/21/2024
10/23/2024 22:46:39,10/23/2024 22:47:39,A Dozen a Day - Book 2,,Group 1 - 8,70,,1.0,10/23/2024,10/21/2024
10/23/2024 22:47:39,10/23/2024 22:55:15,A Dozen a Day - Book 2,,Group 1 - 9,70,,7.6,10/23/2024,10/21/2024
10/23/2024 22:55:15,10/23/2024 22:57:25,A Dozen a Day - Book 2,,Group 1 - 10,70,,2.2,10/23/2024,10/21/2024
10/23/2024 22:57:25,10/23/2024 23:16:09,Jazzin America,,Super Stomp Rag,120 @ 75,,18.7,10/23/2024,10/21/2024
10/23/2024 23:16:09,10/23/2024 23:20:09,Easy Piano Classics,,Nocturne,nm,,4.0,10/23/2024,10/21/2024
10/24/2024 22:36:04,10/24/2024 22:47:12,Exercises,,Warmup + Scales,105,,11.1,10/24/2024,10/21/2024
10/24/2024 22:47:12,10/24/2024 22:48:31,Exercises,,Chromatic Scale,70,,1.3,10/24/2024,10/21/2024
10/24/2024 22:48:31,10/24/2024 22:50:00,Exercises,,Arpeggio,70,,1.5,10/24/2024,10/21/2024
10/24/2024 22:50:00,10/24/2024 22:51:44,Exercises,,triads,70,,1.7,10/24/2024,10/21/2024
10/24/2024 22:51:44,10/24/2024 23:21:09,Exercises,,Broken Chords,70,,29.4,10/24/2024,10/21/2024
10/24/2024 23:21:09,10/24/2024 23:22:45,A Dozen a Day - Book 2,,Group 1 - 1,70,,1.6,10/24/2024,10/21/2024
10/24/2024 23:22:45,10/24/2024 23:24:49,A Dozen a Day - Book 2,,Group 1 - 2,70,,2.1,10/24/2024,10/21/2024
10/24/2024 23:24:49,10/24/2024 23:25:15,A Dozen a Day - Book 2,,Group 1 - 3,70,,0.4,10/24/2024,10/21/2024
10/24/2024 23:25:15,10/24/2024 23:25:46,A Dozen a Day - Book 2,,Group 1 - 4,70,,0.5,10/24/2024,10/21/2024
10/24/2024 23:25:46,10/24/2024 23:27:26,A Dozen a Day - Book 2,,Group 1 - 5,70,,1.7,10/24/2024,10/21/2024
10/24/2024 23:27:26,10/24/2024 23:27:56,A Dozen a Day - Book 2,,Group 1 - 6,70,,0.5,10/24/2024,10/21/2024
10/24/2024 23:27:56,10/24/2024 23:28:27,A Dozen a Day - Book 2,,Group 1 - 7,70,,0.5,10/24/2024,10/21/2024
10/24/2024 23:28:27,10/24/2024 23:30:28,A Dozen a Day - Book 2,,Group 1 - 8,70,,2.0,10/24/2024,10/21/2024
10/24/2024 23:30:28,10/24/2024 23:33:31,A Dozen a Day - Book 2,,Group 1 - 9,70,,3.1,10/24/2024,10/21/2024
10/24/2024 23:33:31,10/24/2024 23:35:31,A Dozen a Day - Book 2,,Group 1 - 10,70,,2.0,10/24/2024,10/21/2024
10/24/2024 23:35:31,10/24/2024 23:50:10,Jazzin America,,Super Stomp Rag,120 @ 85,,14.6,10/24/2024,10/21/2024
10/24/2024 23:50:10,10/25/2024 0:01:37,Easy Piano Classics,,Nocturne,nm,,11.5,10/24/2024,10/21/2024
10/25/2024 8:35:50,10/25/2024 8:46:15,Exercises,,Warmup + Scales,105,,10.4,10/25/2024,10/21/2024
10/25/2024 8:46:15,10/25/2024 8:47:09,Exercises,,Chromatic Scale,70,,0.9,10/25/2024,10/21/2024
10/25/2024 8:47:09,10/25/2024 8:48:22,Exercises,,Arpeggio,70,,1.2,10/25/2024,10/21/2024
10/25/2024 8:48:22,10/25/2024 8:59:38,Exercises,,Broken Chords,70,,11.3,10/25/2024,10/21/2024
10/25/2024 8:59:38,10/25/2024 9:01:48,Exercises,,triads,70,,2.2,10/25/2024,10/21/2024
10/25/2024 20:20:10,10/25/2024 20:20:39,A Dozen a Day - Book 2,,Group 1 - 1,70,,0.5,10/25/2024,10/21/2024
10/25/2024 20:20:39,10/25/2024 20:21:36,A Dozen a Day - Book 2,,Group 1 - 2,70,,0.9,10/25/2024,10/21/2024
10/25/2024 20:21:36,10/25/2024 20:21:58,A Dozen a Day - Book 2,,Group 1 - 3,70,,0.4,10/25/2024,10/21/2024
10/25/2024 20:21:58,10/25/2024 20:22:31,A Dozen a Day - Book 2,,Group 1 - 4,70,,0.6,10/25/2024,10/21/2024
10/25/2024 20:22:31,10/25/2024 20:23:06,A Dozen a Day - Book 2,,Group 1 - 5,70,,0.6,10/25/2024,10/21/2024
10/25/2024 20:23:06,10/25/2024 20:23:39,A Dozen a Day - Book 2,,Group 1 - 6,70,,0.5,10/25/2024,10/21/2024
10/25/2024 20:23:39,10/25/2024 20:24:10,A Dozen a Day - Book 2,,Group 1 - 7,70,,0.5,10/25/2024,10/21/2024
10/25/2024 20:24:10,10/25/2024 20:24:50,A Dozen a Day - Book 2,,Group 1 - 8,70,,0.7,10/25/2024,10/21/2024
10/25/2024 20:24:50,10/25/2024 20:26:05,A Dozen a Day - Book 2,,Group 1 - 9,70,,1.3,10/25/2024,10/21/2024
10/25/2024 20:26:05,10/25/2024 20:28:21,A Dozen a Day - Book 2,,Group 1 - 10,70,,2.3,10/25/2024,10/21/2024
10/25/2024 20:28:21,10/25/2024 20:58:41,Jazzin America,,Super Stomp Rag,120 @ 85,,30.3,10/25/2024,10/21/2024
10/25/2024 21:09:23,10/25/2024 21:31:35,Easy Piano Classics,,Nocturne,nm,,22.2,10/25/2024,10/21/2024
10/27/2024 18:13:53,10/27/2024 18:20:53,Exercises,,Warmup + Scales,105,,7.0,10/27/2024,10/21/2024
10/27/2024 18:20:53,10/27/2024 18:22:21,Exercises,,Chromatic Scale,70,,1.5,10/27/2024,10/21/2024
10/27/2024 18:22:21,10/27/2024 18:28:58,Exercises,,Broken Chords,70,,6.6,10/27/2024,10/21/2024
10/27/2024 18:28:58,10/27/2024 18:30:52,Exercises,,Arpeggio,70,,1.9,10/27/2024,10/21/2024
10/27/2024 18:30:52,10/27/2024 18:32:34,Exercises,,triads,70,,1.7,10/27/2024,10/21/2024
10/27/2024 18:33:06,10/27/2024 18:33:54,A Dozen a Day - Book 2,,Group 1 - 1,70,,0.8,10/27/2024,10/21/2024
10/27/2024 18:33:54,10/27/2024 18:35:03,A Dozen a Day - Book 2,,Group 1 - 2,70,,1.1,10/27/2024,10/21/2024
10/27/2024 18:35:03,10/27/2024 18:35:45,A Dozen a Day - Book 2,,Group 1 - 3,70,,0.7,10/27/2024,10/21/2024
10/27/2024 18:35:45,10/27/2024 18:36:21,A Dozen a Day - Book 2,,Group 1 - 4,70,,0.6,10/27/2024,10/21/2024
10/27/2024 18:36:21,10/27/2024 18:36:56,A Dozen a Day - Book 2,,Group 1 - 5,70,,0.6,10/27/2024,10/21/2024
10/27/2024 18:36:56,10/27/2024 18:37:27,A Dozen a Day - Book 2,,Group 1 - 6,70,,0.5,10/27/2024,10/21/2024
10/27/2024 18:37:27,10/27/2024 18:38:06,A Dozen a Day - Book 2,,Group 1 - 7,70,,0.7,10/27/2024,10/21/2024
